epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,3139.22,1.41477,1.2359,1.10354,0.52241,0.6423,0.54711,0.3201,1.45482,1.34704,1.13761,0.001406,0.001406,0.001406
17,3313.67,1.3969,1.22684,1.09241,0.52933,0.64413,0.56979,0.32943,1.46793,1.32733,1.15611,0.0013664,0.0013664,0.0013664
18,3490.78,1.39547,1.21181,1.08496,0.5542,0.57954,0.5555,0.32112,1.46094,1.38025,1.1474,0.0013268,0.0013268,0.0013268
19,3666.64,1.43146,1.22031,1.09526,0.50398,0.49822,0.48323,0.28393,1.47663,1.40454,1.14538,0.0012872,0.0012872,0.0012872
20,3839.54,1.423,1.27326,1.09679,0.52951,0.55872,0.5261,0.30708,1.42774,1.36083,1.11956,0.0012476,0.0012476,0.0012476
21,4017.87,1.40376,1.18971,1.08136,0.5548,0.56584,0.53571,0.32985,1.44453,1.40119,1.12049,0.001208,0.001208,0.001208
22,4191.43,1.38289,1.18913,1.09526,0.55104,0.57295,0.54405,0.32673,1.43487,1.41376,1.13956,0.0011684,0.0011684,0.0011684
23,4379.53,1.30293,1.11004,1.04433,0.54625,0.57408,0.56602,0.34907,1.40832,1.27685,1.12409,0.0011288,0.0011288,0.0011288
24,4585.31,1.34786,1.11016,1.06366,0.60095,0.60854,0.58743,0.34659,1.42543,1.33381,1.1312,0.0010892,0.0010892,0.0010892
25,4790.38,1.31945,1.15622,1.05489,0.55583,0.60142,0.55707,0.34492,1.37637,1.29891,1.1267,0.0010496,0.0010496,0.0010496
26,4987.58,1.31411,1.13254,1.05633,0.57688,0.61922,0.57271,0.34653,1.36237,1.33472,1.10951,0.00101,0.00101,0.00101
27,5182.15,1.31818,1.08111,1.05709,0.5831,0.46619,0.53117,0.33336,1.38708,1.54705,1.14998,0.0009704,0.0009704,0.0009704
28,5388.74,1.34283,1.1256,1.05292,0.59404,0.60498,0.5737,0.33781,1.39515,1.29116,1.12729,0.0009308,0.0009308,0.0009308
29,5593.17,1.2709,1.08972,1.03503,0.56634,0.64413,0.58772,0.35506,1.39396,1.21215,1.12904,0.0008912,0.0008912,0.0008912
30,5786.82,1.2951,1.05477,1.0511,0.55504,0.60816,0.5767,0.35225,1.3844,1.3427,1.12135,0.0008516,0.0008516,0.0008516
31,5976,1.27118,1.04317,1.03645,0.52746,0.59075,0.57169,0.35073,1.35963,1.31812,1.1181,0.000812,0.000812,0.000812
32,6161.7,1.25146,1.0285,1.02917,0.61273,0.59431,0.57929,0.35044,1.44657,1.27989,1.1575,0.0007724,0.0007724,0.0007724
33,6342.36,1.27027,1.02956,1.04089,0.55135,0.56228,0.55818,0.34083,1.41315,1.40583,1.14182,0.0007328,0.0007328,0.0007328
34,6519.5,1.21082,1.00405,1.01219,0.56902,0.68327,0.62761,0.39035,1.34385,1.21522,1.10252,0.0006932,0.0006932,0.0006932
35,6695.05,1.24255,1.02983,1.01965,0.61108,0.58363,0.59746,0.37732,1.34509,1.20181,1.09947,0.0006536,0.0006536,0.0006536
36,6870.92,1.23663,1.0092,1.03107,0.5696,0.5694,0.58633,0.34669,1.35555,1.36977,1.11108,0.000614,0.000614,0.000614
37,7046.76,1.24285,0.99353,1.0199,0.60869,0.55872,0.58202,0.34947,1.37753,1.23364,1.10397,0.0005744,0.0005744,0.0005744
38,7222.37,1.2615,1.02099,1.02868,0.60237,0.59786,0.59366,0.3642,1.36684,1.29501,1.1128,0.0005348,0.0005348,0.0005348
39,7397.38,1.1892,0.94992,1.01768,0.56873,0.64413,0.61592,0.39922,1.27856,1.15969,1.08365,0.0004952,0.0004952,0.0004952
40,7573.2,1.15011,0.96315,1.01804,0.58561,0.64876,0.59848,0.38348,1.2908,1.19686,1.06145,0.0004556,0.0004556,0.0004556
41,7766.4,1.13034,0.96111,0.99933,0.59163,0.64057,0.60424,0.38449,1.31344,1.2191,1.07632,0.000416,0.000416,0.000416
42,7953.89,1.14299,0.90954,1.00322,0.59665,0.63701,0.61522,0.40053,1.29642,1.23135,1.06734,0.0003764,0.0003764,0.0003764
43,8140.63,1.15406,0.95043,1.00237,0.53617,0.71174,0.60901,0.38926,1.33283,1.23598,1.08992,0.0003368,0.0003368,0.0003368
44,8329.51,1.15964,0.91606,1.00645,0.66286,0.59786,0.61464,0.39475,1.30521,1.22261,1.09753,0.0002972,0.0002972,0.0002972
45,8521.16,1.1265,0.90285,1.00341,0.63074,0.56584,0.60275,0.38902,1.35784,1.28646,1.14784,0.0002576,0.0002576,0.0002576
46,8712.78,1.14231,0.89035,0.99495,0.60711,0.58719,0.60317,0.38718,1.33478,1.22483,1.13665,0.000218,0.000218,0.000218
47,8906.3,1.11003,0.864,0.97894,0.61447,0.58988,0.5982,0.38044,1.34915,1.24558,1.14217,0.0001784,0.0001784,0.0001784
48,9122.35,1.10237,0.90402,0.98386,0.61493,0.57295,0.59445,0.37771,1.35591,1.27726,1.15388,0.0001388,0.0001388,0.0001388
49,9352.28,1.09889,0.86273,0.98576,0.61311,0.60142,0.60861,0.3862,1.32745,1.22379,1.12199,9.92e-05,9.92e-05,9.92e-05
50,9535.7,1.09304,0.86443,0.97617,0.59723,0.62278,0.61938,0.39692,1.3087,1.2136,1.10887,5.96e-05,5.96e-05,5.96e-05
