epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.276,1.90354,3.37217,1.33421,0.01006,0.6121,0.05501,0.02837,1.59827,3.27632,1.15899,0.000655367,0.000655367,0.000655367
2,443.342,1.75346,2.30848,1.22793,0.39921,0.39146,0.29604,0.14243,1.69675,2.41636,1.29859,0.00129586,0.00129586,0.00129586
3,636.289,1.7721,2.18732,1.24805,0.3229,0.30249,0.23697,0.11611,1.78131,3.72408,1.33713,0.00190995,0.00190995,0.00190995
4,835.547,1.73652,1.98404,1.24837,0.45181,0.35587,0.32015,0.15923,1.8191,2.71855,1.39529,0.0018812,0.0018812,0.0018812
5,1023.77,1.71317,1.90347,1.21385,0.45655,0.51601,0.43229,0.22229,1.65011,1.90767,1.26338,0.0018416,0.0018416,0.0018416
6,1210.28,1.59402,1.7004,1.18459,0.41606,0.5089,0.41176,0.20793,1.63594,2.08181,1.24968,0.001802,0.001802,0.001802
7,1404.11,1.56237,1.59998,1.17333,0.40322,0.49772,0.39775,0.21443,1.63175,1.73524,1.24876,0.0017624,0.0017624,0.0017624
8,1592.37,1.62374,1.60701,1.1569,0.56534,0.46749,0.50293,0.26452,1.56335,1.71634,1.20865,0.0017228,0.0017228,0.0017228
9,1780.16,1.56766,1.57951,1.17369,0.45897,0.50178,0.43612,0.23509,1.5248,1.63863,1.21411,0.0016832,0.0016832,0.0016832
10,1970.07,1.57092,1.51046,1.17693,0.46763,0.53025,0.47325,0.25242,1.56771,1.58807,1.22717,0.0016436,0.0016436,0.0016436
11,2172.07,1.48804,1.39818,1.16473,0.4623,0.50179,0.41939,0.2367,1.5205,1.59608,1.17286,0.001604,0.001604,0.001604
12,2367.64,1.54145,1.45337,1.14686,0.47237,0.45552,0.4108,0.2179,1.62366,1.72125,1.22946,0.0015644,0.0015644,0.0015644
13,2566.97,1.47591,1.34704,1.1236,0.54195,0.54448,0.50992,0.28589,1.57672,1.42836,1.23045,0.0015248,0.0015248,0.0015248
14,2767.58,1.48907,1.35725,1.14634,0.57655,0.46263,0.49409,0.28742,1.57453,1.48089,1.25358,0.0014852,0.0014852,0.0014852
15,2957.2,1.48578,1.3226,1.1395,0.53025,0.49822,0.52481,0.30151,1.50539,1.40204,1.17987,0.0014456,0.0014456,0.0014456
