epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8191.88,1.32902,1.05177,1.04971,0.58037,0.58571,0.5743,0.33355,1.49343,1.27251,1.14633,0.00167528,0.00167528,0.00167528
43,8364.71,1.35783,1.12983,1.07013,0.52273,0.60854,0.56707,0.3499,1.33656,1.2986,1.09071,0.00166736,0.00166736,0.00166736
44,8539.5,1.33744,1.09429,1.05656,0.60781,0.5516,0.54371,0.32642,1.42569,1.36306,1.15681,0.00165944,0.00165944,0.00165944
45,8712.39,1.32195,1.05066,1.05839,0.5955,0.5516,0.55691,0.33958,1.44936,1.2837,1.15021,0.00165152,0.00165152,0.00165152
46,8888.21,1.33,1.08027,1.04317,0.66799,0.56564,0.59566,0.3691,1.33375,1.28807,1.0912,0.0016436,0.0016436,0.0016436
47,9059.61,1.2894,1.09141,1.05101,0.60835,0.5694,0.56234,0.34729,1.36768,1.31308,1.11176,0.00163568,0.00163568,0.00163568
48,9232.51,1.31002,1.05542,1.0431,0.63888,0.61566,0.59877,0.37331,1.31164,1.25745,1.0886,0.00162776,0.00162776,0.00162776
49,9404.75,1.28494,1.07529,1.04568,0.69449,0.53391,0.61265,0.36963,1.35498,1.19186,1.10477,0.00161984,0.00161984,0.00161984
50,9578.79,1.28914,1.03652,1.05181,0.58735,0.60785,0.57882,0.34929,1.44077,1.25957,1.12374,0.00161192,0.00161192,0.00161192
51,9752.13,1.32936,1.02012,1.067,0.60981,0.57295,0.55527,0.33056,1.37901,1.32419,1.10072,0.001604,0.001604,0.001604
52,9924.39,1.29902,1.02604,1.04119,0.56074,0.58007,0.55941,0.33906,1.38512,1.37464,1.1154,0.00159608,0.00159608,0.00159608
53,10099,1.24696,1.01788,1.03782,0.61897,0.58967,0.57294,0.35083,1.38534,1.25254,1.10887,0.00158816,0.00158816,0.00158816
54,10271.4,1.24802,1.00035,1.04655,0.59135,0.59738,0.56833,0.34431,1.41519,1.31329,1.10808,0.00158024,0.00158024,0.00158024
55,10443.1,1.27586,0.98023,1.02916,0.56403,0.57295,0.56449,0.34973,1.39566,1.33052,1.09816,0.00157232,0.00157232,0.00157232
56,10615.2,1.29526,1.01926,1.05022,0.62796,0.49822,0.54881,0.33417,1.42546,1.43435,1.13509,0.0015644,0.0015644,0.0015644
57,10788.5,1.25588,0.96643,1.02333,0.5824,0.5658,0.5238,0.31998,1.39979,1.38168,1.12289,0.00155648,0.00155648,0.00155648
58,10959.7,1.25112,0.96079,1.02416,0.56823,0.55872,0.54444,0.33467,1.40856,1.3529,1.12671,0.00154856,0.00154856,0.00154856
59,11131.5,1.25882,1.02682,1.02048,0.59631,0.56228,0.5457,0.33547,1.41164,1.30297,1.13085,0.00154064,0.00154064,0.00154064
60,11304,1.27444,0.9934,1.02826,0.55845,0.61662,0.55788,0.31612,1.43466,1.38255,1.14582,0.00153272,0.00153272,0.00153272
61,11476.1,1.26427,1.01364,1.02425,0.60436,0.55992,0.5782,0.34555,1.39369,1.22208,1.10313,0.0015248,0.0015248,0.0015248
62,11648.5,1.23729,0.9486,1.01483,0.60678,0.57651,0.57613,0.34721,1.42879,1.31283,1.14255,0.00151688,0.00151688,0.00151688
63,11821.5,1.24517,0.94881,1.03218,0.58546,0.56228,0.57261,0.36613,1.32667,1.21642,1.10409,0.00150896,0.00150896,0.00150896
64,11992.2,1.23451,0.96316,1.01826,0.55842,0.6121,0.55722,0.34078,1.35208,1.35244,1.11519,0.00150104,0.00150104,0.00150104
65,12166.2,1.17884,0.91298,1.00772,0.59627,0.60854,0.57376,0.35,1.3823,1.25189,1.15237,0.00149312,0.00149312,0.00149312
66,12337.5,1.25672,0.96229,1.04143,0.61979,0.59172,0.59787,0.3626,1.37847,1.23625,1.15334,0.0014852,0.0014852,0.0014852
67,12508.9,1.18883,0.94571,1.00619,0.64195,0.6189,0.60819,0.35716,1.41746,1.28613,1.16211,0.00147728,0.00147728,0.00147728
68,12680.1,1.23065,0.98221,1.01335,0.52477,0.59075,0.54216,0.31413,1.43313,1.38219,1.15328,0.00146936,0.00146936,0.00146936
69,12851.8,1.26503,1.00356,1.01692,0.59113,0.65836,0.59431,0.3611,1.39267,1.19516,1.1295,0.00146144,0.00146144,0.00146144
70,13025.8,1.19715,0.94196,1.0216,0.62842,0.58981,0.53151,0.32099,1.40968,1.3271,1.14125,0.00145352,0.00145352,0.00145352
71,13195.3,1.25429,0.98443,1.01691,0.61718,0.52313,0.55869,0.34316,1.43677,1.27447,1.16763,0.0014456,0.0014456,0.0014456
72,13369.3,1.21033,0.94716,1.00571,0.54632,0.61922,0.54885,0.33621,1.42452,1.34618,1.1665,0.00143768,0.00143768,0.00143768
73,13541.7,1.21636,0.96981,1.01373,0.66917,0.60142,0.63797,0.39665,1.31685,1.18533,1.0955,0.00142976,0.00142976,0.00142976
74,13712.7,1.20662,0.95664,1.02695,0.60676,0.53737,0.55541,0.3448,1.36081,1.29811,1.10077,0.00142184,0.00142184,0.00142184
75,13883.4,1.20387,0.91668,0.99879,0.62263,0.61653,0.60093,0.36442,1.40052,1.29573,1.14263,0.00141392,0.00141392,0.00141392
76,14055.5,1.19177,0.90063,0.99959,0.62195,0.51957,0.54303,0.33883,1.39912,1.44985,1.16474,0.001406,0.001406,0.001406
77,14228.2,1.18982,0.90874,0.99882,0.57481,0.54804,0.52435,0.31139,1.43168,1.34747,1.14056,0.00139808,0.00139808,0.00139808
78,14396.9,1.21843,0.93677,1.01166,0.63295,0.54804,0.55569,0.34899,1.41231,1.29245,1.13835,0.00139016,0.00139016,0.00139016
79,14567.5,1.20552,0.97624,1.00337,0.60682,0.54375,0.54977,0.33283,1.36913,1.38886,1.13082,0.00138224,0.00138224,0.00138224
80,14739.3,1.18064,0.9038,1.00711,0.50638,0.64769,0.55511,0.32838,1.41096,1.32106,1.15516,0.00137432,0.00137432,0.00137432
81,14907.5,1.18476,0.88898,0.99318,0.61519,0.59786,0.61975,0.3916,1.31938,1.23315,1.1036,0.0013664,0.0013664,0.0013664
82,15081.2,1.21147,0.90248,1.01861,0.62566,0.56228,0.5722,0.36288,1.36167,1.31384,1.10431,0.00135848,0.00135848,0.00135848
83,15252.4,1.21222,0.8918,0.99817,0.60281,0.5694,0.58608,0.35993,1.42447,1.39107,1.16331,0.00135056,0.00135056,0.00135056
84,15422.5,1.16967,0.8878,0.98825,0.56995,0.63701,0.60424,0.38537,1.31909,1.13955,1.12296,0.00134264,0.00134264,0.00134264
85,15594.8,1.13676,0.85314,0.97432,0.58151,0.57295,0.577,0.3529,1.34225,1.30856,1.1339,0.00133472,0.00133472,0.00133472
86,15766.6,1.17036,0.87685,0.99251,0.57066,0.57651,0.56177,0.34219,1.38195,1.32668,1.14401,0.0013268,0.0013268,0.0013268
87,15941,1.16446,0.88146,0.99532,0.59496,0.56584,0.58147,0.3554,1.40762,1.28773,1.1758,0.00131888,0.00131888,0.00131888
88,16122.7,1.16566,0.86617,0.97956,0.59219,0.63046,0.58535,0.35077,1.3714,1.27466,1.1292,0.00131096,0.00131096,0.00131096
89,16294,1.17653,0.88371,0.99233,0.58872,0.57563,0.59045,0.36674,1.33151,1.22211,1.13036,0.00130304,0.00130304,0.00130304
90,16464.3,1.16315,0.86853,0.99155,0.60461,0.59431,0.60317,0.3786,1.35096,1.22936,1.13109,0.00129512,0.00129512,0.00129512
91,16637.7,1.14106,0.85359,0.97526,0.53474,0.63806,0.58739,0.36552,1.44711,1.27646,1.19887,0.0012872,0.0012872,0.0012872
92,16809.9,1.16764,0.86576,0.9927,0.63025,0.53025,0.55528,0.33113,1.48708,1.40289,1.20865,0.00127928,0.00127928,0.00127928
93,16979,1.11014,0.8168,0.97378,0.65343,0.5694,0.57186,0.35697,1.42232,1.25222,1.18339,0.00127136,0.00127136,0.00127136
94,17151.6,1.13237,0.83858,0.98825,0.61904,0.57651,0.57457,0.35351,1.35343,1.31801,1.13657,0.00126344,0.00126344,0.00126344
95,17321.4,1.1277,0.87096,0.97476,0.60425,0.58007,0.59283,0.37801,1.31779,1.2191,1.11643,0.00125552,0.00125552,0.00125552
96,17491.1,1.12626,0.85528,0.97071,0.5987,0.5681,0.56388,0.35284,1.39299,1.28685,1.18534,0.0012476,0.0012476,0.0012476
97,17664.2,1.15175,0.84702,0.98693,0.55916,0.63701,0.5887,0.36717,1.37233,1.23549,1.13697,0.00123968,0.00123968,0.00123968
98,17836.6,1.11446,0.82429,0.97402,0.66829,0.59509,0.59806,0.36677,1.38512,1.27378,1.15979,0.00123176,0.00123176,0.00123176
99,18007.3,1.1316,0.80829,0.97604,0.63226,0.54804,0.56529,0.34832,1.37371,1.33323,1.14453,0.00122384,0.00122384,0.00122384
100,18179.3,1.12144,0.84227,0.98241,0.60571,0.56309,0.56846,0.34181,1.45626,1.37162,1.1976,0.00121592,0.00121592,0.00121592
101,18350.6,1.12531,0.8677,0.98244,0.65074,0.60498,0.61033,0.37629,1.31301,1.16731,1.0991,0.001208,0.001208,0.001208
102,18520.2,1.12302,0.83231,0.97388,0.59812,0.6121,0.60583,0.38189,1.3324,1.20659,1.09399,0.00120008,0.00120008,0.00120008
103,18691.2,1.14229,0.83853,0.98281,0.64902,0.59075,0.60308,0.36462,1.42545,1.20254,1.18515,0.00119216,0.00119216,0.00119216
104,18863.4,1.13519,0.85007,0.9772,0.65999,0.59408,0.59397,0.35237,1.43139,1.29208,1.17256,0.00118424,0.00118424,0.00118424
105,19033,1.14665,0.85065,0.98564,0.62256,0.63345,0.61199,0.3819,1.36876,1.17142,1.12145,0.00117632,0.00117632,0.00117632
106,19202.5,1.15143,0.85533,0.98568,0.66572,0.57407,0.61587,0.37441,1.35852,1.22654,1.13257,0.0011684,0.0011684,0.0011684
107,19374.2,1.15799,0.84839,0.99452,0.61402,0.62272,0.61266,0.38611,1.33736,1.21598,1.12305,0.00116048,0.00116048,0.00116048
108,19545.2,1.11533,0.80301,0.96548,0.59397,0.58363,0.5822,0.36707,1.35747,1.26285,1.13607,0.00115256,0.00115256,0.00115256
109,19715.4,1.13739,0.83025,0.96517,0.58093,0.61566,0.57456,0.34969,1.39584,1.28323,1.14191,0.00114464,0.00114464,0.00114464
110,19886,1.10107,0.81705,0.97328,0.64072,0.5694,0.5942,0.37316,1.37867,1.2392,1.17891,0.00113672,0.00113672,0.00113672
111,20056.3,1.08601,0.79059,0.96808,0.66629,0.61108,0.5993,0.36762,1.45326,1.30135,1.22149,0.0011288,0.0011288,0.0011288
112,20228.7,1.13385,0.79502,0.96157,0.63515,0.61333,0.59812,0.37634,1.36374,1.28879,1.16052,0.00112088,0.00112088,0.00112088
113,20400.9,1.13096,0.81481,0.9818,0.58625,0.6548,0.60224,0.37355,1.33756,1.25649,1.12346,0.00111296,0.00111296,0.00111296
114,20571.4,1.10961,0.80278,0.97413,0.65305,0.61625,0.61625,0.38446,1.36223,1.2336,1.1398,0.00110504,0.00110504,0.00110504
115,20743,1.08781,0.79975,0.96453,0.66666,0.59431,0.6133,0.39172,1.34422,1.26444,1.15623,0.00109712,0.00109712,0.00109712
116,20917.2,1.12081,0.81754,0.96119,0.66455,0.60854,0.63207,0.38134,1.41022,1.18882,1.18774,0.0010892,0.0010892,0.0010892
117,21086.7,1.09207,0.81528,0.95787,0.56602,0.66548,0.60416,0.37721,1.39852,1.278,1.17615,0.00108128,0.00108128,0.00108128
118,21258.1,1.10429,0.80179,0.96537,0.57873,0.6121,0.58958,0.36389,1.38722,1.33891,1.17463,0.00107336,0.00107336,0.00107336
119,21428.7,1.12929,0.81647,0.96758,0.65363,0.56411,0.57968,0.36488,1.3601,1.3703,1.15423,0.00106544,0.00106544,0.00106544
120,21601.3,1.05863,0.7713,0.94576,0.64599,0.58719,0.58558,0.36046,1.42667,1.38583,1.16435,0.00105752,0.00105752,0.00105752
121,21772,1.11828,0.8038,0.97385,0.61576,0.63305,0.58949,0.36612,1.35735,1.33627,1.14154,0.0010496,0.0010496,0.0010496
122,21941.8,1.09916,0.79457,0.96307,0.60152,0.58719,0.59996,0.37448,1.37803,1.20961,1.15563,0.00104168,0.00104168,0.00104168
123,22112.7,1.08856,0.7997,0.9573,0.6198,0.56228,0.58171,0.36289,1.406,1.34119,1.16853,0.00103376,0.00103376,0.00103376
124,22282.2,1.0793,0.78767,0.95685,0.60968,0.6548,0.5928,0.35949,1.4419,1.33452,1.20554,0.00102584,0.00102584,0.00102584
125,22454.7,1.09355,0.80527,0.96886,0.61225,0.60854,0.58559,0.3568,1.41877,1.36077,1.22222,0.00101792,0.00101792,0.00101792
126,22624.1,1.09235,0.78613,0.95847,0.64535,0.61519,0.61107,0.38543,1.37879,1.25839,1.17291,0.00101,0.00101,0.00101
127,22795.6,1.0938,0.80489,0.95428,0.59272,0.66291,0.61445,0.38287,1.33539,1.20401,1.11661,0.00100208,0.00100208,0.00100208
128,22965.7,1.07344,0.7786,0.95482,0.66087,0.59786,0.62361,0.39712,1.34265,1.23862,1.11733,0.00099416,0.00099416,0.00099416
129,23136.9,1.07576,0.7813,0.94929,0.62335,0.59075,0.59816,0.37793,1.35293,1.28711,1.13259,0.00098624,0.00098624,0.00098624
130,23306.5,1.04602,0.75294,0.95036,0.61165,0.58007,0.59391,0.37021,1.37205,1.33303,1.13688,0.00097832,0.00097832,0.00097832
131,23479.5,1.09068,0.77562,0.94222,0.58543,0.61922,0.60478,0.39215,1.3074,1.27397,1.13478,0.0009704,0.0009704,0.0009704
132,23651.9,1.01757,0.73575,0.93981,0.59533,0.59075,0.59388,0.3823,1.35776,1.37358,1.16671,0.00096248,0.00096248,0.00096248
