epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.716,1.90354,3.37217,1.33421,0.01006,0.6121,0.05501,0.02837,1.59827,3.27632,1.15899,0.000655367,0.000655367,0.000655367
2,376.561,1.74037,2.30723,1.21765,0.36446,0.36655,0.28392,0.12668,1.81864,2.40275,1.33877,0.00130895,0.00130895,0.00130895
3,549.319,1.7848,2.22434,1.26255,0.26178,0.29893,0.20774,0.09706,1.77501,4.25042,1.38189,0.00194932,0.00194932,0.00194932
4,729.848,1.73023,1.97247,1.2387,0.44007,0.38078,0.35489,0.17465,1.75871,2.20406,1.3055,0.0019406,0.0019406,0.0019406
5,900.13,1.73486,1.89411,1.23222,0.4479,0.47687,0.40097,0.2038,1.75514,2.01575,1.36987,0.0019208,0.0019208,0.0019208
6,1079.22,1.63683,1.76259,1.2208,0.42392,0.45043,0.37983,0.20115,1.65489,2.63514,1.28667,0.001901,0.001901,0.001901
7,1255.18,1.62433,1.6298,1.20075,0.4035,0.52313,0.39695,0.21557,1.6238,1.72348,1.2341,0.0018812,0.0018812,0.0018812
8,1425.11,1.63674,1.5966,1.16756,0.45966,0.4874,0.43984,0.24117,1.54443,1.65924,1.19265,0.0018614,0.0018614,0.0018614
9,1592.6,1.58008,1.61643,1.17712,0.36231,0.39858,0.3148,0.17197,1.58759,1.86915,1.22409,0.0018416,0.0018416,0.0018416
10,1768.09,1.63392,1.54353,1.20181,0.48197,0.51957,0.46091,0.24054,1.6827,1.89228,1.29238,0.0018218,0.0018218,0.0018218
11,1946.4,1.53776,1.4681,1.18113,0.47548,0.55516,0.4877,0.27679,1.50509,1.51246,1.15745,0.001802,0.001802,0.001802
12,2123.96,1.5784,1.49786,1.16603,0.49814,0.51601,0.49206,0.2544,1.61695,1.4986,1.22474,0.0017822,0.0017822,0.0017822
13,2295.15,1.50403,1.38556,1.1183,0.46221,0.64057,0.50559,0.28492,1.50014,1.40867,1.16264,0.0017624,0.0017624,0.0017624
14,2463.39,1.51823,1.37375,1.16383,0.52897,0.48754,0.474,0.26146,1.55453,1.53607,1.21336,0.0017426,0.0017426,0.0017426
15,2637.59,1.51609,1.36433,1.13168,0.51659,0.55143,0.50659,0.28781,1.54493,1.42679,1.18318,0.0017228,0.0017228,0.0017228
16,2809.21,1.45027,1.27405,1.12015,0.57752,0.5694,0.54407,0.31243,1.51818,1.36215,1.18734,0.001703,0.001703,0.001703
17,2981.38,1.43296,1.26513,1.11839,0.57301,0.63518,0.59362,0.3389,1.48953,1.33624,1.17097,0.0016832,0.0016832,0.0016832
18,3154.36,1.44572,1.25134,1.11133,0.53555,0.54988,0.50926,0.2912,1.5093,1.40362,1.15911,0.0016634,0.0016634,0.0016634
19,3325.55,1.45479,1.25709,1.10907,0.54652,0.44484,0.48319,0.28276,1.55692,1.47401,1.1854,0.0016436,0.0016436,0.0016436
20,3497.7,1.4329,1.27868,1.10434,0.49904,0.56584,0.49479,0.2892,1.45159,1.38677,1.12715,0.0016238,0.0016238,0.0016238
21,3668.93,1.42296,1.24312,1.08739,0.52121,0.52313,0.49567,0.28431,1.47188,1.47677,1.14002,0.001604,0.001604,0.001604
22,3839.12,1.42272,1.21885,1.12101,0.50926,0.62781,0.52861,0.29293,1.53404,1.40911,1.16398,0.0015842,0.0015842,0.0015842
23,4010.63,1.3745,1.16523,1.0715,0.54678,0.60498,0.54306,0.32038,1.39877,1.36404,1.13371,0.0015644,0.0015644,0.0015644
24,4180.72,1.37441,1.14897,1.07473,0.52792,0.57705,0.53432,0.31551,1.44029,1.36564,1.15718,0.0015446,0.0015446,0.0015446
25,4352.45,1.3712,1.23016,1.09191,0.58858,0.53025,0.5562,0.34511,1.36849,1.31513,1.13644,0.0015248,0.0015248,0.0015248
26,4523.39,1.38654,1.19405,1.08763,0.5428,0.5915,0.55401,0.31506,1.43908,1.33592,1.15033,0.001505,0.001505,0.001505
27,4693.65,1.36978,1.13575,1.0815,0.55405,0.46975,0.48362,0.29653,1.43802,1.45176,1.13381,0.0014852,0.0014852,0.0014852
28,4868.38,1.41799,1.19111,1.09205,0.55847,0.57616,0.5336,0.31797,1.43306,1.4116,1.14677,0.0014654,0.0014654,0.0014654
29,5039.1,1.33083,1.15209,1.065,0.58839,0.59431,0.56134,0.34477,1.40656,1.26102,1.13095,0.0014456,0.0014456,0.0014456
30,5210.98,1.31961,1.10429,1.06407,0.52297,0.58007,0.54888,0.33363,1.39117,1.33344,1.13371,0.0014258,0.0014258,0.0014258
31,5383.37,1.31748,1.10455,1.05176,0.57861,0.53025,0.52413,0.31566,1.44081,1.37315,1.1594,0.001406,0.001406,0.001406
32,5556.84,1.34304,1.09603,1.06207,0.58867,0.53381,0.5438,0.3373,1.39632,1.33326,1.12693,0.0013862,0.0013862,0.0013862
33,5737.81,1.33377,1.08591,1.0597,0.58664,0.52669,0.5331,0.30687,1.48113,1.50422,1.17572,0.0013664,0.0013664,0.0013664
34,5915.58,1.31157,1.10473,1.05097,0.54869,0.60854,0.57305,0.34849,1.37464,1.29849,1.1345,0.0013466,0.0013466,0.0013466
35,6084.25,1.29567,1.1005,1.04888,0.52163,0.62278,0.56044,0.34264,1.36682,1.26694,1.10454,0.0013268,0.0013268,0.0013268
36,6256.76,1.31523,1.07622,1.05706,0.61457,0.51246,0.57086,0.33034,1.47242,1.3381,1.14645,0.001307,0.001307,0.001307
37,6430.29,1.3165,1.06341,1.03735,0.53169,0.63434,0.5723,0.35428,1.38599,1.20989,1.12511,0.0012872,0.0012872,0.0012872
38,6601.22,1.34107,1.09583,1.0648,0.59532,0.51246,0.552,0.32968,1.43417,1.42173,1.17115,0.0012674,0.0012674,0.0012674
39,6775.18,1.29578,1.04414,1.05612,0.54713,0.62989,0.60079,0.36901,1.37851,1.25688,1.12201,0.0012476,0.0012476,0.0012476
40,6948.15,1.24531,1.05902,1.05261,0.5966,0.52669,0.55232,0.32723,1.43862,1.39482,1.12515,0.0012278,0.0012278,0.0012278
41,7120.91,1.29876,1.03378,1.04559,0.54966,0.58007,0.57383,0.37419,1.33536,1.32826,1.1235,0.001208,0.001208,0.001208
42,7296.35,1.30934,1.02912,1.03851,0.59173,0.61922,0.59986,0.36372,1.38594,1.20692,1.0962,0.0011882,0.0011882,0.0011882
43,7466.6,1.30502,1.06397,1.05018,0.58648,0.62633,0.58912,0.38415,1.32281,1.23413,1.08248,0.0011684,0.0011684,0.0011684
44,7643.14,1.27582,1.04856,1.03614,0.60041,0.56584,0.5831,0.36504,1.40458,1.26739,1.13519,0.0011486,0.0011486,0.0011486
45,7827.66,1.26398,1.02538,1.0347,0.62008,0.5694,0.57559,0.36012,1.35823,1.25369,1.14902,0.0011288,0.0011288,0.0011288
46,8007.73,1.26993,1.01658,1.02254,0.63699,0.55578,0.603,0.38324,1.33708,1.2942,1.11503,0.001109,0.001109,0.001109
47,8179.14,1.23129,1.01778,1.02515,0.58395,0.63936,0.59771,0.38697,1.33068,1.25952,1.08948,0.0010892,0.0010892,0.0010892
48,8354.22,1.22744,0.9855,1.00922,0.6342,0.58363,0.60025,0.3847,1.32142,1.30582,1.08957,0.0010694,0.0010694,0.0010694
49,8534.89,1.24545,1.00289,1.0311,0.66939,0.51879,0.61645,0.38525,1.31698,1.21421,1.08345,0.0010496,0.0010496,0.0010496
50,8713.22,1.22276,0.9546,1.02441,0.63896,0.57944,0.60634,0.37873,1.36803,1.2815,1.10724,0.0010298,0.0010298,0.0010298
51,8885.9,1.22059,0.94696,1.03303,0.63371,0.59075,0.60652,0.36012,1.40584,1.26662,1.12522,0.00101,0.00101,0.00101
52,9059.62,1.22885,0.9763,1.00934,0.50472,0.59786,0.55219,0.32736,1.38145,1.38406,1.13904,0.0009902,0.0009902,0.0009902
53,9232.2,1.1914,0.95021,1.00575,0.58628,0.63542,0.60208,0.37216,1.33754,1.27495,1.07772,0.0009704,0.0009704,0.0009704
54,9402.66,1.20091,0.9482,1.01876,0.57526,0.5516,0.56987,0.36934,1.36206,1.32412,1.11538,0.0009506,0.0009506,0.0009506
55,9577.93,1.22613,0.9456,1.00659,0.55414,0.58363,0.58656,0.37176,1.3823,1.28308,1.119,0.0009308,0.0009308,0.0009308
56,9748.9,1.2329,0.9646,1.02891,0.56336,0.60498,0.59202,0.37751,1.31694,1.27107,1.08014,0.000911,0.000911,0.000911
57,9920.85,1.1896,0.91673,0.99247,0.56426,0.62989,0.57581,0.34385,1.41168,1.30892,1.11641,0.0008912,0.0008912,0.0008912
58,10093.5,1.18191,0.89708,0.99081,0.53219,0.61566,0.57411,0.36359,1.33417,1.29966,1.11471,0.0008714,0.0008714,0.0008714
59,10263.8,1.17342,0.94658,0.99352,0.62314,0.59786,0.60163,0.36603,1.41332,1.29065,1.13141,0.0008516,0.0008516,0.0008516
60,10437.8,1.2154,0.91285,1.00316,0.6257,0.53381,0.57627,0.37099,1.35467,1.35396,1.12826,0.0008318,0.0008318,0.0008318
61,10608.8,1.19094,0.93561,0.99348,0.72119,0.55872,0.61294,0.37634,1.43702,1.34278,1.1431,0.000812,0.000812,0.000812
62,10781.7,1.16772,0.89417,0.98947,0.56345,0.59711,0.5726,0.36163,1.34221,1.26888,1.12118,0.0007922,0.0007922,0.0007922
63,10955,1.17631,0.88493,1.00083,0.60603,0.63345,0.60318,0.3761,1.34404,1.31366,1.11011,0.0007724,0.0007724,0.0007724
64,11125.4,1.17172,0.8998,0.9911,0.61875,0.57756,0.59757,0.37947,1.293,1.28327,1.06506,0.0007526,0.0007526,0.0007526
65,11296.7,1.10327,0.84879,0.97398,0.58819,0.62989,0.61589,0.38372,1.29654,1.25514,1.08527,0.0007328,0.0007328,0.0007328
66,11468.7,1.16464,0.89074,1.00514,0.58731,0.62278,0.61771,0.37984,1.31066,1.28989,1.09835,0.000713,0.000713,0.000713
67,11637.7,1.12675,0.87031,0.98316,0.63328,0.60227,0.61811,0.38487,1.30914,1.15689,1.10804,0.0006932,0.0006932,0.0006932
68,11810,1.13943,0.87994,0.97638,0.63937,0.60854,0.62608,0.37887,1.34669,1.21987,1.09193,0.0006734,0.0006734,0.0006734
69,11983.2,1.18505,0.91338,0.98523,0.64528,0.63345,0.64856,0.39907,1.32574,1.22284,1.10199,0.0006536,0.0006536,0.0006536
70,12155.1,1.10824,0.86281,0.97824,0.58992,0.62278,0.5874,0.35437,1.34034,1.36227,1.11381,0.0006338,0.0006338,0.0006338
71,12326.2,1.14974,0.89169,0.98507,0.60842,0.564,0.5894,0.36556,1.39768,1.36639,1.15701,0.000614,0.000614,0.000614
72,12496.8,1.12809,0.85921,0.97575,0.54501,0.59786,0.56751,0.35759,1.30253,1.27768,1.09358,0.0005942,0.0005942,0.0005942
73,12670.3,1.14175,0.86737,0.97716,0.5461,0.6508,0.6013,0.37848,1.29239,1.26862,1.07837,0.0005744,0.0005744,0.0005744
74,12841.7,1.10545,0.86098,0.98543,0.64604,0.53025,0.57632,0.36282,1.3679,1.34948,1.12631,0.0005546,0.0005546,0.0005546
75,13012.9,1.1018,0.82221,0.95523,0.56201,0.64057,0.60809,0.37971,1.34469,1.28704,1.12906,0.0005348,0.0005348,0.0005348
76,13184.9,1.10209,0.81103,0.96476,0.57524,0.66548,0.60077,0.37797,1.34213,1.25471,1.12332,0.000515,0.000515,0.000515
77,13354,1.10421,0.82091,0.97167,0.6101,0.67936,0.62369,0.39716,1.27894,1.1613,1.06797,0.0004952,0.0004952,0.0004952
78,13531.2,1.09685,0.81391,0.9722,0.5907,0.65125,0.61262,0.38284,1.35787,1.276,1.14094,0.0004754,0.0004754,0.0004754
79,13705.5,1.09462,0.83622,0.97196,0.59476,0.64413,0.60581,0.37851,1.31551,1.25865,1.10796,0.0004556,0.0004556,0.0004556
80,13878.6,1.08883,0.79899,0.96833,0.57075,0.65299,0.59346,0.37765,1.36475,1.34999,1.173,0.0004358,0.0004358,0.0004358
81,14053.2,1.07767,0.79305,0.9531,0.62746,0.60142,0.6087,0.38758,1.30513,1.26755,1.10548,0.000416,0.000416,0.000416
82,14227.3,1.09653,0.80498,0.97134,0.59399,0.60498,0.59188,0.37983,1.33245,1.29548,1.10037,0.0003962,0.0003962,0.0003962
83,14401.6,1.1017,0.79261,0.96501,0.61439,0.62989,0.61384,0.39321,1.35732,1.3491,1.13938,0.0003764,0.0003764,0.0003764
84,14575.8,1.08035,0.79817,0.95416,0.60371,0.59075,0.61747,0.39616,1.33745,1.28159,1.12755,0.0003566,0.0003566,0.0003566
